Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
Baicalein,0.008060637,0.001765151,0.005120538,0.002259429,0.004234032,0.002690134,0.001158079,0.003699472,0.004196789,0.023285854,0.002396021,0.002733977,0.065522168,0.001348514,0.001129906,0.002410245,0.003210307,0.008863496,0.002545729,0.001261357
Benalfocin,0.004036735,0.004214777,0.003329895,0.003584827,0.001944038,0.003497352,0.000440554,0.004259996,0.005113452,0.008748624,0.0002517,0.000488303,0.002099163,0.000510328,0.000259366,0.000153269,0.017363848,0.000526934,0.000232457,0.002475983
Beta-Leucine,0.001237274,0.001704499,0.002152676,0.00071269,0.000964838,0.000788249,0.000448814,0.001064342,0.00204469,0.004252895,0.018934856,0.011803475,0.0,0.06655476,0.014206835,0.0,0.014568018,0.003737776,0.000138154,0.00841943
Bilirubin,0.003547934,0.005371774,0.000632635,0.000201198,0.001728767,0.000634474,1.90567e-05,0.000108927,0.000835544,0.00011845,0.000148579,0.001523092,0.000133574,0.000781324,0.000524383,0.004916576,0.009316592,0.001545739,0.002186873,0.000497123
Biliverdin,0.00730185,0.000660787,0.000952444,0.000734246,0.001389835,0.000941539,0.001332442,0.001516445,0.005467813,0.028857143,0.011125967,0.006427742,0.003533452,0.005013854,0.00893581,0.012956543,0.047728662,0.001770454,0.008561386,0.004724905
Biochanin A 7-O-beta-d-glucoside-6''-O-malonate,0.001229835,0.001035503,0.001305305,0.000931046,0.001108818,0.001062321,0.000334918,0.001025857,0.001215041,0.000976595,0.000444411,0.001025884,0.000589728,0.00045667,0.000520206,0.000687114,0.000927089,0.001736197,0.00076907,0.001229348
Biotin,0.047673539,0.019560374,0.039333124,0.004550702,0.012311261,0.027203246,0.020165859,0.007639013,0.039663375,0.023304061,0.042570346,0.056476972,0.003436298,0.015181938,0.022600883,0.005412788,0.049701857,0.010516257,0.042473076,0.007438521
Bisindolylmaleimide I,0.005010725,0.003052921,0.003768189,0.003228761,0.006278727,0.004319746,0.001958038,0.005557132,0.006067806,0.004151493,0.00226344,0.004635447,0.00284903,0.001792416,0.001669345,0.001361544,0.002995128,0.005170928,0.00331874,0.000848508
CHEBI:39547,0.001319934,0.014310775,0.050635667,0.00995532,0.017964277,0.00898547,0.008764034,0.023714046,0.031895011,0.002643329,0.046015538,0.049691894,0.013601777,0.03195499,0.034975563,0.023374507,0.027593814,0.056890556,0.014293794,0.020142131
"CL(10:0/11:0/18:2(9Z,11Z)/21:0)",0.000431984,0.00033211,0.001384606,0.000155325,0.00017721,0.000246933,0.000471488,0.000158021,0.000187488,0.000943227,0.002061776,0.00086116,0.000211987,0.001144011,0.002435438,0.00073024,0.002515128,0.000327908,0.000567272,0.000845592
