community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	B_bin.1	B_bin.9	M_acald_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.9	M_anhgm_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.9	M_fe2_e	0.04	1.0	1	0.04
all	minimal	B_bin.1	B_bin.9	M_fe3_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.9	M_glyc_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.9	M_h2s_e	0.04	0.04	1	0.0016
all	minimal	B_bin.1	B_bin.9	M_h_e	0.04	0.03	1	0.0012
all	minimal	B_bin.1	B_bin.9	M_nh4_e	0.04	0.01	1	0.0004
all	minimal	B_bin.10	B_bin.1	M_cys__L_e	0.06	0.8	1	0.048
all	minimal	B_bin.10	B_bin.1	M_fe3_e	0.06	0.12	1	0.0072
all	minimal	B_bin.10	B_bin.1	M_h2s_e	0.06	0.17	1	0.0102
all	minimal	B_bin.10	B_bin.1	M_h_e	0.06	0.02	1	0.0012
all	minimal	B_bin.10	B_bin.1	M_lys__L_e	0.06	0.02	1	0.0012
all	minimal	B_bin.10	B_bin.1	M_nh4_e	0.06	0.02	1	0.0012
all	minimal	B_bin.10	B_bin.1	M_o2_e	0.06	0.08	1	0.0048
all	minimal	B_bin.10	B_bin.1	M_ura_e	0.06	0.01	1	0.0006
all	minimal	B_bin.10	B_bin.11	M_cys__L_e	0.05	0.8	1	0.04000000000000001
all	minimal	B_bin.10	B_bin.11	M_fe2_e	0.05	0.01	1	0.0005
all	minimal	B_bin.10	B_bin.11	M_fe3_e	0.05	0.12	1	0.006
all	minimal	B_bin.10	B_bin.11	M_h_e	0.05	0.02	1	0.001
all	minimal	B_bin.10	B_bin.11	M_istfrnB_e	0.05	0.01	1	0.0005
all	minimal	B_bin.10	B_bin.11	M_nh4_e	0.05	0.02	1	0.001
all	minimal	B_bin.10	B_bin.12	M_fe2_e	0.06	0.01	1	0.0006
all	minimal	B_bin.10	B_bin.12	M_fe3_e	0.06	0.12	1	0.0072
all	minimal	B_bin.10	B_bin.12	M_h2s_e	0.06	0.17	1	0.0102
all	minimal	B_bin.10	B_bin.12	M_h_e	0.06	0.02	1	0.0012
all	minimal	B_bin.10	B_bin.12	M_istfrnB_e	0.06	0.01	1	0.0006
all	minimal	B_bin.10	B_bin.12	M_nh4_e	0.06	0.02	1	0.0012
all	minimal	B_bin.10	B_bin.12	M_o2_e	0.06	0.08	1	0.0048
all	minimal	B_bin.10	B_bin.12	M_ura_e	0.06	0.01	1	0.0006
all	minimal	B_bin.10	B_bin.14	M_asp__D_e	0.05	0.07	1	0.0035000000000000005
all	minimal	B_bin.10	B_bin.14	M_bz_e	0.05	0.04	1	0.002
all	minimal	B_bin.10	B_bin.14	M_fe2_e	0.05	0.01	1	0.0005
all	minimal	B_bin.10	B_bin.14	M_fe3_e	0.05	0.12	1	0.006
all	minimal	B_bin.10	B_bin.14	M_h2s_e	0.05	0.17	1	0.0085
all	minimal	B_bin.10	B_bin.14	M_h_e	0.05	0.02	1	0.001
all	minimal	B_bin.10	B_bin.14	M_istfrnB_e	0.05	0.01	1	0.0005
all	minimal	B_bin.10	B_bin.14	M_mal__L_e	0.05	0.85	1	0.0425
all	minimal	B_bin.10	B_bin.14	M_nh4_e	0.05	0.02	1	0.001
all	minimal	B_bin.10	B_bin.14	M_o2_e	0.05	0.08	1	0.004
